iter	Passed	Remaining
400	27441	40991
401	27491	40894
402	27540	40797
403	27596	40711
404	27658	40634
405	27747	40595
406	27810	40520
407	27865	40431
408	27953	40393
409	28058	40376
410	28111	40286
411	28165	40197
412	28224	40115
413	28287	40040
414	28366	39986
415	28433	39916
416	28502	39848
417	28552	39755
418	28590	39644
419	28650	39564
420	28700	39472
421	28773	39410
422	28864	39373
423	28911	39275
424	28968	39192
425	29016	39096
426	29085	39029
427	29127	38927
428	29225	38899
429	29288	38824
430	29354	38753
431	29397	38652
432	29430	38538
433	29536	38519
434	29594	38438
435	29658	38365
436	29729	38301
437	29806	38245
438	29871	38172
439	29926	38087
440	29981	38003
441	30036	37919
442	30124	37876
443	30173	37784
444	30253	37731
445	30334	37680
446	30432	37649
447	30523	37609
448	30587	37536
449	30671	37487
450	30758	37442
451	30840	37390
452	30905	37318
453	30978	37255
454	31050	37192
455	31088	37088
456	31160	37024
457	31219	36945
458	31295	36886
459	31373	36829
460	31423	36740
461	31460	36636
462	31529	36568
463	31612	36518
464	31661	36427
465	31715	36343
466	31786	36279
467	31872	36231
468	31938	36160
469	32031	36120
470	32113	36068
471	32168	35985
472	32227	35907
473	32290	35833
474	32343	35748
475	32428	35698
476	32465	35596
477	32536	35531
478	32555	35410
479	32608	35326
480	32679	35261
481	32731	35175
482	32786	35094
483	32869	35043
484	32935	34972
485	32994	34895
486	33049	34813
487	33146	34777
488	33204	34698
489	33278	34637
490	33374	34597
491	33431	34518
492	33519	34471
493	33592	34408
494	33652	34331
495	33674	34217
496	33741	34149
497	33803	34074
498	33892	34028
499	33962	33962
500	34038	33903
501	34078	33806
502	34142	33735
503	34182	33640
504	34241	33563
505	34326	33512
506	34376	33427
507	34486	33400
508	34547	33325
509	34610	33253
510	34676	33183
511	34723	33095
512	34794	33031
513	34884	32983
514	34925	32891
515	34991	32821
516	35062	32756
517	35097	32658
518	35166	32591
519	35218	32509
520	35279	32435
521	35356	32375
522	35408	32294
523	35479	32229
524	35562	32175
525	35638	32115
526	35693	32035
527	35742	31951
528	35807	31881
529	35852	31793
530	35905	31712
531	35943	31619
532	36010	31551
533	36054	31463
534	36120	31394
535	36173	31313
536	36260	31263
537	36337	31204
538	36437	31164
539	36517	31107
540	36582	31037
541	36659	30978
542	36711	30896
543	36765	30817
544	36857	30770
545	36943	30718
546	37043	30678
547	37117	30614
548	37179	30542
549	37245	30473
550	37292	30388
551	37341	30305
552	37380	30215
553	37464	30160
554	37516	30080
555	37600	30026
556	37671	29961
557	37751	29903
558	37834	29847
559	37914	29789
560	38007	29742
561	38046	29652
562	38110	29581
563	38153	29494
564	38216	29423
565	38267	29342
566	38376	29307
567	38460	29251
568	38503	29165
569	38605	29123
570	38668	29051
571	38723	28974
572	38761	28884
573	38839	28824
574	38911	28760
575	38989	28700
576	39047	28625
577	39157	28588
578	39223	28519
579	39293	28453
580	39377	28397
581	39426	28316
582	39467	28229
583	39508	28142
584	39583	28080
585	39638	28004
586	39686	27922
587	39757	27857
588	39800	27772
589	39864	27702
590	39942	27641
591	40012	27576
592	40083	27510
593	40147	27440
594	40202	27364
595	40267	27295
596	40330	27224
597	40387	27150
598	40428	27064
599	40473	26982
600	40557	26925
601	40580	26828
602	40662	26771
603	40706	26688
604	40746	26602
605	40812	26534
606	40868	26460
607	40928	26388
608	40963	26300
609	41020	26226
610	41074	26150
611	41124	26072
612	41174	25994
613	41197	25899
614	41285	25845
615	41340	25770
616	41390	25692
617	41431	25609
618	41500	25544
619	41560	25472
620	41626	25404
621	41721	25354
622	41783	25284
623	41860	25223
624	41924	25154
625	41992	25088
626	42056	25019
627	42130	24956
628	42200	24891
629	42232	24803
630	42277	24723
631	42323	24643
632	42384	24573
633	42433	24496
634	42505	24432
635	42576	24367
636	42641	24299
637	42704	24230
638	42738	24145
639	42788	24068
640	42870	24009
641	42940	23944
642	42991	23869
643	43082	23815
644	43167	23758
645	43238	23694
646	43295	23621
647	43341	23543
648	43414	23480
649	43485	23415
650	43559	23352
651	43639	23292
652	43706	23225
653	43764	23153
654	43817	23079
655	43882	23011
656	43974	22957
657	44026	22882
658	44083	22811
659	44147	22742
660	44195	22665
661	44252	22594
662	44304	22519
663	44361	22447
664	44419	22376
665	44485	22309
666	44521	22227
667	44585	22159
668	44623	22078
669	44683	22008
670	44736	21934
671	44809	21871
672	44875	21804
673	44888	21711
674	44973	21653
675	45027	21581
676	45083	21509
677	45176	21455
678	45218	21377
679	45276	21306
680	45345	21241
681	45403	21170
682	45485	21111
683	45554	21045
684	45590	20965
685	45632	20887
686	45709	20825
687	45787	20763
688	45856	20698
689	45921	20631
690	45996	20568
691	46075	20507
692	46132	20436
693	46183	20363
694	46223	20285
695	46312	20228
696	46352	20150
697	46402	20076
698	46473	20012
699	46548	19949
700	46612	19881
701	46671	19812
702	46702	19730
703	46742	19653
704	46807	19586
705	46833	19503
706	46914	19442
707	47015	19390
708	47090	19327
709	47184	19272
710	47265	19212
711	47313	19137
712	47377	19070
713	47430	18998
714	47506	18936
715	47552	18861
716	47614	18793
717	47673	18724
718	47750	18661
719	47810	18593
720	47878	18527
721	47945	18460
722	48010	18394
723	48086	18331
724	48171	18271
725	48243	18207
726	48343	18153
727	48411	18087
728	48480	18022
729	48544	17954
730	48601	17884
731	48650	17812
732	48744	17755
733	48809	17688
734	48877	17622
735	48925	17549
736	48996	17484
737	49050	17413
738	49091	17338
739	49120	17258
740	49234	17208
741	49303	17143
742	49335	17064
743	49380	16991
744	49430	16919
745	49489	16850
746	49592	16796
747	49656	16729
748	49727	16664
749	49789	16596
750	49866	16533
751	49888	16452
752	49951	16385
753	50011	16316
754	50062	16245
755	50104	16171
756	50164	16103
757	50225	16035
758	50291	15968
759	50346	15898
760	50408	15831
761	50461	15760
762	50524	15693
763	50608	15632
764	50685	15570
765	50744	15501
766	50818	15437
767	50845	15359
768	50910	15292
769	50960	15221
770	51027	15155
771	51127	15099
772	51222	15042
773	51273	14971
774	51334	14903
775	51406	14838
776	51493	14778
777	51564	14713
778	51627	14646
779	51685	14578
780	51750	14511
781	51830	14448
782	51895	14382
783	51960	14315
784	51997	14241
785	52067	14176
786	52131	14109
787	52175	14037
788	52226	13966
789	52276	13896
790	52344	13830
791	52416	13765
792	52484	13700
793	52546	13632
794	52606	13565
795	52669	13498
796	52710	13425
797	52786	13361
798	52866	13299
799	52918	13229
800	52969	13159
801	53033	13093
802	53119	13031
803	53173	12962
804	53233	12895
805	53279	12824
806	53326	12753
807	53415	12692
808	53469	12623
809	53509	12551
810	53577	12486
811	53630	12416
812	53667	12344
813	53751	12282
814	53789	12209
815	53844	12141
816	53908	12074
817	53983	12010
818	54043	11943
819	54103	11876
820	54167	11810
821	54231	11743
822	54305	11679
823	54355	11609
824	54433	11546
825	54483	11477
826	54540	11409
827	54621	11346
828	54681	11279
829	54772	11218
830	54805	11145
831	54844	11074
832	54906	11007
833	54955	10938
834	55024	10873
835	55060	10801
836	55137	10737
837	55182	10667
838	55241	10600
839	55291	10531
840	55338	10462
841	55380	10391
842	55446	10326
843	55532	10264
844	55601	10199
845	55654	10130
846	55699	10061
847	55761	9994
848	55831	9929
849	55887	9862
850	55953	9796
851	56009	9729
852	56087	9665
853	56178	9604
854	56234	9536
855	56303	9471
856	56356	9403
857	56409	9335
858	56459	9267
859	56522	9201
860	56602	9137
861	56674	9073
862	56734	9006
863	56790	8939
864	56852	8872
865	56916	8806
866	56957	8737
867	57017	8670
868	57094	8606
869	57177	8543
870	57221	8474
871	57264	8405
872	57303	83387873	57338	826875	57342	8116
876	57421	8053
877	57480	7987
878	57536	7920
879	57553	7848
88879	57682	786881	57692	7718
882	57760	7653
88882	57883	766884	57917	7526
885	57971	7459
886	58025	7392
887	58062	7323
888	58130	7258
88888	58274	72789889	58325	72089890	58394	714892	58388	6996
893	58454	6930
894	58539	6867
895	58590	6800
896	58658	6735
89896	58820	6754
897	58890	6689
898	58951	6623
899	59030	6558
900	59073	6490
901	59131	6424
902	59164	63590903	59235	62990904	59288	62290905	59348	615907	59349	6013
908	59423	5948
909	59471	5881
910	59550	5817
911	59620	5752
912	59676	5686
913	59749	5621
914	59794	5554
915	59835	5487
916	59932	5424
917	59996	5359
918	60046	5292
919	60109	5226
920	60187	5162
921	60253	5097
922	60314	5031
923	60357	4964
924	60410	4898
925	60504	4835
926	60584	4770
927	60664	4706
928	60742	4642
929	60823	4578
930	60895	4513
931	60948	4446
932	61015	4381
933	61075	4315
934	61115	4248
935	61159	4181
936	61225	4116
937	61280	4050
938	61325	3983
939	61376	3917
940	61418	3850
941	61489	3785
942	61563	3721
94942	61673	37294943	61764	36694944	61850	3599
945	61912	3534
946	61957	3467
947	62011	3401
948	62076	3336
949	62120	3269
950	62189	3204
951	62255	3138
952	62311	3073
953	62376	3007
954	62436	2942
955	62483	2875
956	62543	2810
957	62604	2744
958	62656	2678
959	62704	2612
960	62770	2547
961	62812	2481
962	62846	24196963	62903	23496964	62967	22896965	63012	22196966	63104	2153
967	63151	2087
968	63218	2022
969	63242	1955
970	63298	1890
971	63345	1824
972	63391	1759
973	63427	1693
974	63466	1627
975	63491	1561
976	63515	1495
977	63552	1429
978	63581	1363
979	63603	1298
980	63625	1232
981	63646	1166
982	63663	1101
983	63681	1035
984	63704	970
985	63732	904
986	63759	839
987	63780	774
988	63792	709
989	63806	644
990	63820	579
991	63834	514
992	63848	450
993	63860	385
994	63874	320
995	63888	256
996	63902	192
997	63917	128
998	63927	63
999	63937	0
