iter	RMSE
0	12.8611163311	12.9814840722	12.7517890433	12.5384174444	12.3387385155	12.15503656	11.38566546
777	11.11770758	8	10.9266134999	10.7361805
10	10.57433087
11	10.41116246
12	10.24589466
13	10.0819446
14	9.917630651
15	9.764444748
16	9.614675206
17	9.454771424
18	9.30229804
19	9.159026894
20	9.006306111
21	8.867912952
22	8.726394718
23	8.574384299
24	8.453415736
25	8.31593806
26	8.211884878
27	8.101891721
28	7.976107659
29	7.857510782
30	7.739742496
31	7.639089574
32	7.532369908
33	7.435187467
34	7.322078446
35	7.224451236	36	7.123936455
37	7.033900121
38	6.92495293
39	6.828914412440	6.736712534
41	6.642153639442	6.547575227443	6.462595181444	6.373158707445	6.298529811446	6.228428771447	6.152514858448	6.075212846449	5.999920845550	5.9328872751	6.196172551
552	5.798418496553	5.731375813554	5.675922753555	5.617488256	56	5.562089857	57	5.511632458	58	5.444978259	59	5.37960766060	5.318837861	61	5.261230562	62	5.196846263	63	5.150384564	64	5.100455465	65	5.049433066	5.191477085
67	5.133894374
68	5.073680172
69	69	4.84464270	470	4.793035445
71	4.750517539
72	472	4.82956473	473	4.77988874	4.625537892
75	4.583174573
76	4.541716892
77	4.501649018
78	4.463477015
79	4.422196005
80	4.386574743
81	4.352750536
82	4.315849689
83	4.276546863
84	4.232848859
85	4.198794724
86	4.161549687
87	4.120347176
88	4.085415081
89	4.0524437
90	4.022791193
91	3.989377307
92	3.961739484
93	3.940733216
94	3.902053818
95	3.866774599
96	3.837015129
97	3.811396152
98	3.782984926
99	3.75883499
100	3.731932737
101	3.702993913
102	3.676738664
103	3.640287604
104	3.618642799
105	3.589406709
106	3.558968901
107	3.535349151
108	3.521599563
109	3.495439618
110	3.468516525
111	3.440302142
112	3.414265498
113	3.395155736
114	3.373235889
115	3.353689722
116	3.336027544
117	3.318707042
118	3.295119	3.1119	3.119	3.220997573
120	3.196604277
121	3.17140128
122	3.1452123	3.123	3.1198124	3.124125	3.0125	3.125	3.0747126	3.126127	2.9661471127128	2.9463381128	3.01386638
129130	2.9015925130131	2.8874963131132	2.8675782132133	2.851006263
134	2.834204414
135	2.822254769
136	2.803844889
137	2.784752814
138	2.7632679138139	2.7514647139140	2.728895466
141	2.709950214142	2.690881694
143	2.676316257
144	2.657436923
145	2.636447536
146	2.619056617
147	2.597256291
148	2.584400633
149	2.568311512
150	2.549388365
151	2.536032765
152	2.521204669
153	2.503107862
154	2.488613468
155	2.475170201
156	2.459670039
157	2.443878166
158	2.431464158	15159	2.453159	2160	2.40143160	2161	2.38794161	2162	2.37401162	2163	2.36239163	2164	2.34603164	216165	2.372165	166	2.315739166	167167	2.350167	168168	2.339168	2.3169	2.325117935
170	2.309170	2.3171	2.297171	2.316239154
172	2.173	2.28173	2.2174	2.270174	2.2175	2.25175	2.27176	2.24176	2.26177	2.23177	2.25178	2.21962908
179	2.204393
180	2.192765504
181	2.180495502
182	2.170311738
183	2.164142761
184	2.150818127
185	2.140826629
186	2.124496811
187	2.116861313
